postal_code,walk_score,bike_score,transit_score
T2N 0R9,86,99,65
T2X 4G3,12,45,38
T2L 1B4,22,56,51
T3G 6G6,35,70,35
T2Y 4J2,66,68,60
T3E 2Z8,63,76,54
T3H 5W5,36,63,37
T3M 2S6,8,55,34
T2B 0W3,45,77,46
T2E 1N2,82,80,55
T3N 0R3,0,26,18
T2Y 5B1,7,62,33
T2P 5N4,84,94,76
T3C 3N7,89,94,63
T2E 5J2,35,86,36
T3H 2Z2,26,67,55
T3H 2N3,28,64,53
T3M 1S3,32,70,36
T2P 5G8,85,95,76
T2V 0E6,51,69,52
T2Z 2M1,13,60,40
T3G 4E4,21,52,48
T3G 0C2,22,53,46
T3B 1K7,50,81,42
T3H 4Y9,16,46,38
T3R 0R6,9,36,30
T2B 1G9,65,61,53
T2W 3Z7,45,60,33
T2G 0G3,91,92,77
T2G 3X9,55,93,56
T3H 5J3,28,67,34
T2E 2A4,65,83,51
T3H 5H9,49,73,52
T2Z 3Y2,48,76,45
T2R 0R5,96,97,72
T2J 7H4,40,79,53
T2A 7T3,11,56,42
T1Y 4R7,54,76,50
T2A 7S7,5,56,42
T2C 0S3,50,69,46
T1Y 4R2,40,70,39
T3G 1R8,34,64,40
T3K 0Y6,53,69,51
T3J 1E1,58,77,51
T3J 3K6,27,64,44
T3P 0R4,0,30,0
T2E 3W4,80,82,55
T2G 1S7,69,91,73
T2Y 4S9,35,73,35
T3K 6G6,21,42,38
T2B 1A3,68,62,54
T2M 4R3,76,98,55
T2Z 0Z4,37,66,38
T3L 0B4,9,70,23
T3J 0A6,20,70,50
T1Y 4A1,59,77,51
T2B 1B4,68,62,55
T2M 0Y9,62,87,57
T3J 2N6,25,65,48
T3M 2G7,8,55,34
T2C 3T2,51,70,45
T2R 0N3,95,97,71
T2W 0N4,57,54,59
T3C 3X7,18,51,51
T1Y 1M6,42,67,35
T2B 3V6,22,42,42
T1Y 6V5,29,62,37
T3R 0W1,0,38,0
T2T 4C7,48,80,41
T2N 4J3,37,85,56
T3R 0L1,8,41,30
T3E 1A2,55,63,48
T3G 1L3,35,64,40
T2V 0V1,50,88,62
T3P 1H9,0,23,17
T2E 4M2,68,98,51
T3R 0C5,31,53,39
T2X 0J6,17,64,35
T2P 0G9,93,96,77
T3M 1R3,8,55,34
T2W 2G7,20,60,33
T2G 5T7,87,94,76
T2Z 3E7,17,67,36
T2M 2X4,76,99,57
T2R 1G9,91,95,66
T2N 4S8,88,99,64
T2J 1H2,60,73,51
T3J 2A4,50,76,59
T2T 6X9,51,77,47
T2T 1K3,61,76,48
T2T 2G3,63,81,44
T3E 3H4,58,69,48
T3H 2L8,42,83,44
T3B 5Z4,1,38,23
T2P 0G8,90,96,77
T2R 0H1,95,95,76
T3E 1J7,28,76,49
T3H 2L4,26,67,35
T2K 4C2,34,60,56
T2W 5T9,16,64,25
T2Z 0N8,19,69,30
T3J 0W2,7,66,40
T3M 3A7,8,55,34
T3J 0N1,30,72,55
T1Y 7L2,29,68,34
T2S 3E7,79,98,58
T2T 2C1,71,84,46
T2M 1N5,60,81,52
T2J 4Y5,19,53,30
T2W 0M4,44,51,44
T3N 0N1,9,47,34
T3H 1G9,39,64,37
T2X 3J8,25,64,34
T3L 1P3,36,66,49
T3G 4K2,67,68,56
T3R 1M6,15,50,38
T2T 2M1,58,80,44
T3M 0V3,36,60,40
T2X 0T5,7,47,31
T3M 0G9,29,67,38
T3H 0V4,25,50,46
T2P 5N3,91,96,76
T3H 4V8,38,77,36
T2X 0P4,17,49,40
T2W 0J2,41,63,62
T2B 1V7,33,70,48
T3H 1C8,40,74,37
T2X 1Y7,12,45,38
T3H 3J7,30,59,35
T2X 4C4,10,35,26
T3A 0H3,43,78,57
T3R 0M3,0,38,0
T2X 2E9,12,45,38
T3K 4S6,71,67,54
T3K 5X8,13,48,35
T3G 1Z6,54,59,44
T2X 3A4,5,54,37
T2Y 5E8,22,50,32
T2N 1Z3,83,10,68
T2X 0A6,22,61,32
T2E 4S1,46,83,52
T3E 2P9,71,91,59
T2G 1L7,72,92,76
T3G 5Y4,31,46,29
T3N 0C9,11,43,34
T2G 1B5,40,87,54
T2H 0V4,47,57,54
T3R 0P6,14,47,34
T2V 2E9,23,83,49
T3M 2L7,8,55,34
T2Z 4R2,4,57,27
T2B 3K3,18,48,41
T3G 6B1,22,41,30
T3H 5H3,7,53,27
T3E 6M3,42,74,52
T3J 1K4,44,66,47
T2V 5E4,24,50,43
T3M 1T2,8,55,34
T3G 4M5,34,66,34
T2T 2P3,37,78,40
T3L 1P9,31,62,48
T2N 2Y8,30,81,53
T2M 0N5,62,91,58
T3E 5G8,34,88,48
T3A 2M9,59,91,49
T2E 1C7,78,86,50
T2R 0J6,90,96,73
T2E 4G9,72,99,56
T3B 0Z9,54,64,50
T2J 6J2,7,61,32
T2A 2G1,40,51,53
T3M 1H6,15,66,36
T1Y 4L1,55,71,46
T3N 0R1,0,26,18
T3E 4Z5,43,67,47
T3H 4X5,17,65,35
T3K 3E5,15,52,31
T2Z 0E3,37,73,46
T3K 3P3,14,57,41
T2N 1Y8,85,99,70
T2H 0Z7,48,62,56
T3R 0P5,18,48,37
T3K 3T2,22,54,36
T3B 4R8,29,73,37
T3M 0M7,21,45,37
T2J 3P5,30,68,30
T2B 1V9,34,72,48
T3A 5E7,21,62,32
T2A 6N1,33,66,46
T3K 0H3,41,62,45
T3M 3C1,8,55,34
T2V 4Y6,40,78,33
T3M 2V1,8,55,34
T2P 5K4,82,90,76
T2Y 3S8,30,51,35
T2T 3X8,66,83,47
T3E 2W8,64,71,51
T2Z 0X3,18,66,29
T1X 1A6,4,29,N/A
T2J 1H5,56,74,50
T3E 5R3,48,90,51
T3H 4K2,18,53,51
T2B 3J8,19,56,41
T2G 4K5,48,83,53
T2B 3G8,21,75,40
T3N 0P9,0,26,18
T2V 0H1,63,79,53
T3L 0C8,44,63,28
T2J 1Z3,39,70,45
T2J 0X2,31,63,39
T3G 3S5,14,48,38
T2E 4G1,75,99,55
T2Z 4G3,60,84,49
T3B 2B1,29,74,38
T2Z 4P7,47,67,43
T2P 3R8,83,93,76
T3E 4K1,36,75,57
T2J 5B1,23,69,37
T3M 1Y9,8,55,34
T2A 2M4,19,49,55
T3K 2X9,20,51,42
T3H 1B1,32,63,37
T3P 0M4,7,45,30
T3H 3K8,30,73,57
T2T 4A2,56,81,42
T2Z 4R1,14,43,43
T2W 4V6,38,66,25
T2Z 4Z3,39,70,44
T2G 5P9,86,95,72
T3M 2S1,8,55,34
T2K 0G5,29,81,44
T2Z 4J9,3,41,34
T3L 2K2,65,77,60
T2Y 3S1,24,62,50
T2C 4C3,38,74,41
T2V 0E2,64,76,45
T3E 1Z5,58,81,50
T2A 7P6,32,63,44
T2E 0V5,80,98,56
T2W 6C1,33,66,46
T3B 0P3,63,91,44
T2V 1K6,48,89,60
T2S 2G5,86,98,59
T2P 0S7,95,91,79
T3A 1C8,50,76,56
T3K 6E6,14,37,39
T3J 3R1,16,55,35
T3C 3C7,19,80,43
T2Y 0C5,29,70,36
T2J 4L4,67,67,57
T2S 0L1,72,97,57
T2T 0R1,80,80,52
T3M 0N2,17,39,34
T3M 2J5,3,36,22
T3L 1Z7,12,61,54
T3B 0R8,55,89,51
T3R 0S5,22,51,38
T2Z 0C1,13,61,32
T2Z 0Y1,53,81,47
T3K 4X3,59,93,44
T2L 1L3,62,82,61
T3C 0T9,82,91,62
T2B 1C6,61,63,52
T3B 1Z2,41,78,41
T3G 3N6,49,59,41
T3C 0R2,86,98,62
T3M 1C8,13,65,36
T3P 1J7,0,30,0
T2A 7L1,23,53,47
T3K 0W8,51,66,39
T2A 2W4,45,58,53
T2Y 2V2,2,53,40
T2E 5P2,58,88,41
T2P 5P6,93,95,77
T3J 4Z9,37,72,60
T2B 3L4,25,56,39
T3G 0G3,35,70,35
T3R 0W2,0,38,0
T3L 2H1,25,62,53
T2E 1A8,82,84,52
